day,book,chapterFrom,chapterTo
1,genesis,1,
2,genesis,2,
3,genesis,3,
4,genesis,4,
5,genesis,5,
6,genesis,6,
7,genesis,7,
8,genesis,8,
9,genesis,9,
10,genesis,10,
11,genesis,11,
12,genesis,12,
13,genesis,13,
14,genesis,14,
15,genesis,15,
16,genesis,16,
17,genesis,17,
18,genesis,18,
19,genesis,19,
20,genesis,20,
21,genesis,21,
22,genesis,22,
23,genesis,23,
24,genesis,24,
25,genesis,25,
26,genesis,26,
27,genesis,27,
28,genesis,28,
29,genesis,29,
30,genesis,30,
31,genesis,31,
32,genesis,32,
33,genesis,33,
34,genesis,34,
35,genesis,35,
36,genesis,36,
37,genesis,37,
38,genesis,38,
39,genesis,39,
40,genesis,40,
41,genesis,41,
42,genesis,42,
43,genesis,43,
44,genesis,44,
45,genesis,45,
46,genesis,46,
47,genesis,47,
48,genesis,48,
49,genesis,49,
50,genesis,50,
51,luke,1,
52,luke,2,
53,luke,3,
54,luke,4,
55,luke,5,
56,luke,6,
57,luke,7,
58,luke,8,
59,luke,9,
60,luke,10,
61,luke,11,
62,luke,12,
63,luke,13,
64,luke,14,
65,luke,15,
66,luke,16,
67,luke,17,
68,luke,18,
69,luke,19,
70,luke,20,
71,luke,21,
72,luke,22,
73,luke,23,
74,luke,24,
75,acts,1,
76,acts,2,
77,acts,3,
78,acts,4,
79,acts,5,
80,acts,6,
81,acts,7,
82,acts,8,
83,acts,9,
84,acts,10,
85,acts,11,
86,acts,12,
87,acts,13,
88,acts,14,
89,acts,15,
90,acts,16,
91,acts,17,
92,acts,18,
93,acts,19,
94,acts,20,
95,acts,21,
96,acts,22,
97,acts,23,
98,acts,24,
99,acts,25,
100,acts,26,
101,acts,27,
102,acts,28,
103,exodus,1,
104,exodus,2,
105,exodus,3,
106,exodus,4,
107,exodus,5,
108,exodus,6,
109,exodus,7,
110,exodus,8,
111,exodus,9,
112,exodus,10,
113,exodus,11,
114,exodus,12,
115,exodus,13,
116,exodus,14,
117,exodus,15,
118,exodus,16,
119,exodus,17,
120,exodus,18,
121,exodus,19,
122,exodus,20,
123,exodus,21,
124,exodus,22,
125,exodus,23,
126,exodus,24,
127,exodus,25,
128,exodus,26,
129,exodus,27,
130,exodus,28,
131,exodus,29,
132,exodus,30,
133,exodus,31,
134,exodus,32,
135,exodus,33,
136,exodus,34,
137,exodus,35,
138,exodus,36,
139,exodus,37,
140,exodus,38,
141,exodus,39,
142,exodus,40,
143,psalms,1,2
144,psalms,3,4
145,psalms,5,6
146,psalms,7,8
147,psalms,9,
148,psalms,10,
149,psalms,11,12
150,psalms,13,14
151,psalms,15,16
152,psalms,17,
153,psalms,18,
154,psalms,19,20
155,psalms,21,
156,psalms,22,
157,psalms,23,24
158,psalms,25,
159,psalms,26,
160,psalms,27,
161,psalms,28,29
162,psalms,30,
163,psalms,31,
164,psalms,32,
165,psalms,33,
166,psalms,34,
167,psalms,35,
168,psalms,36,
169,psalms,37,
170,psalms,38,
171,psalms,39,
172,psalms,40,41
173,romans,1,
174,romans,2,
175,romans,3,
176,romans,4,
177,romans,5,
178,romans,6,
179,romans,7,
180,romans,8,
181,romans,9,
182,romans,10,
183,romans,11,
184,romans,12,
185,romans,13,
186,romans,14,
187,romans,15,
188,romans,16,
189,leviticus,1,
190,leviticus,2,
191,leviticus,3,
192,leviticus,4,
193,leviticus,5,
194,leviticus,6,
195,leviticus,7,
196,leviticus,8,
197,leviticus,9,
198,leviticus,10,
199,leviticus,11,
200,leviticus,12,
201,leviticus,13,
202,leviticus,14,
203,leviticus,15,
204,leviticus,16,
205,leviticus,17,
206,leviticus,18,
207,leviticus,19,
208,leviticus,20,
209,leviticus,21,
210,leviticus,22,
211,leviticus,23,
212,leviticus,24,
213,leviticus,25,
214,leviticus,26,
215,leviticus,27,
216,proverbs,1,
217,proverbs,2,
218,proverbs,3,
219,proverbs,4,
220,proverbs,5,
221,proverbs,6,
222,proverbs,7,
223,proverbs,8,
224,proverbs,9,
225,proverbs,10,
226,proverbs,11,
227,proverbs,12,
228,proverbs,13,
229,proverbs,14,
230,proverbs,15,
231,proverbs,16,
232,proverbs,17,
233,proverbs,18,
234,proverbs,19,
235,proverbs,20,
236,proverbs,21,
237,proverbs,22,
238,proverbs,23,
239,proverbs,24,
240,proverbs,25,
241,proverbs,26,
242,proverbs,27,
243,proverbs,28,
244,proverbs,29,
245,proverbs,30,
246,proverbs,31,
247,thessalonians1,1,
248,thessalonians1,2,3
249,thessalonians1,4,5
250,thessalonians2,1,
251,thessalonians2,2,3
252,numbers,1,
253,numbers,2,
254,numbers,3,
255,numbers,4,
256,numbers,5,
257,numbers,6,
258,numbers,7,
259,numbers,8,
260,numbers,9,
261,numbers,10,
262,numbers,11,
263,numbers,12,
264,numbers,13,
265,numbers,14,
266,numbers,15,
267,numbers,16,
268,numbers,17,
269,numbers,18,
270,numbers,19,
271,numbers,20,
272,numbers,21,
273,numbers,22,
274,numbers,23,
275,numbers,24,
276,numbers,25,
277,numbers,26,
278,numbers,27,
279,numbers,28,
280,numbers,29,
281,numbers,30,
282,numbers,31,
283,numbers,32,
284,numbers,33,
285,numbers,34,
286,numbers,35,
287,numbers,36,
288,mark,1,
289,mark,2,
290,mark,3,
291,mark,4,
292,mark,5,
293,mark,6,
294,mark,7,
295,mark,8,
296,mark,9,
297,mark,10,
298,mark,11,
299,mark,12,
300,mark,13,
301,mark,14,
302,mark,15,
303,mark,16,
304,deuteronomy,1,
305,deuteronomy,2,
306,deuteronomy,3,
307,deuteronomy,4,
308,deuteronomy,5,
309,deuteronomy,6,
310,deuteronomy,7,
311,deuteronomy,8,
312,deuteronomy,9,
313,deuteronomy,10,
314,deuteronomy,11,
315,deuteronomy,12,
316,deuteronomy,13,
317,deuteronomy,14,
318,deuteronomy,15,
319,deuteronomy,16,
320,deuteronomy,17,
321,deuteronomy,18,
322,deuteronomy,19,
323,deuteronomy,20,
324,deuteronomy,21,
325,deuteronomy,22,
326,deuteronomy,23,
327,deuteronomy,24,
328,deuteronomy,25,
329,deuteronomy,26,
330,deuteronomy,27,
331,deuteronomy,28,
332,deuteronomy,29,
333,deuteronomy,30,
334,deuteronomy,31,
335,deuteronomy,32,
336,deuteronomy,33,
337,deuteronomy,34,
338,philippians,1,
339,philippians,2,
340,philippians,3,
341,philippians,4,
342,psalms,44,
343,psalms,45,
344,psalms,46,
345,psalms,47,
346,psalms,48,
347,psalms,49,
348,psalms,50,
349,psalms,51,
350,psalms,52,
351,psalms,53,
352,psalms,54,
353,psalms,55,
354,psalms,56,
355,psalms,57,
356,psalms,58,
357,psalms,59,
358,psalms,60,
359,psalms,61,
360,psalms,62,
361,psalms,63,
362,psalms,64,
363,psalms,65,
364,psalms,66,
365,psalms,67,